siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
008127938,A,,,MIDI IMM COP LE MANEGE,,,,2011-11-29T00:10:51,O,
008131708,A,,,GESTRIM COP CLOS JULES NORI,,,,2019-06-24T13:04:23,O,
008132458,A,,,MIDI IMMOB COP BREGUET SPOR,,,,2018-09-29T12:00:20,O,
008332892,A,,,SYND. COPROPRIETAIRES,,,,2017-05-04T01:02:39,O,
008572489,A,,,SYND COPROP RESIDENCE D'AUBILLY,,,,2013-05-18T02:02:29,O,
008574311,A,,,SYND COPROP RESIDENCE ST REMI GAMBETTA,,,,2018-09-29T12:00:20,O,
008574394,A,,,SYND COPROP RESIDENCE LA VERRERIE,,,,2019-06-24T13:04:23,O,
008574402,A,,,SYND COPROP RESIDENCE NOTRE-DAME,,,,2019-06-24T13:04:23,O,
008574410,A,,,SYND COPROP RESIDENCE BUSSY,,,,2019-06-24T13:04:23,O,
008574428,A,,,SYND COPROP RESIDENCE LES HETRES,,,,2019-06-24T13:04:23,O,
008574451,A,,,SYND COPROP RESIDENCE COURS BRIAND,,,,2019-06-24T13:04:23,O,
008574469,A,,,SYND COPROP 1 3 5 RUE DES ETUVES,,,,2019-06-24T13:04:23,O,
008574477,A,,,SYND COPROP IMMEUBLE GAMMA 1,,,,2019-06-24T13:04:23,O,
008574485,A,,,SYND COPROP RESIDENCE LECLERE,,,,2019-06-24T13:04:23,O,
008574527,A,,,SYND COPROP RESIDENCE VOLTAIRE,,,,2019-06-24T13:04:23,O,
008574543,A,,,SYND COPROP IMMEUBLE GAMMA 5,,,,2012-05-05T00:05:41,O,
008574550,A,,,SYND COPROP RESIDENCE D'ARCHES,,,,2019-06-24T13:04:23,O,
008574576,A,,,RESIDENCE DUBOIS CRANCE,,,,2012-05-05T00:05:41,O,
008574592,A,,,RESIDENCE RIMBAUD,,,,2019-06-24T13:04:23,O,
008574618,A,,,SYND COPROP RESIDENCE LES ARCHERS,,,,2016-04-26T01:03:45,O,
008574626,A,,,IMMEUBLE DU 26 AV D'ARCHES,,,,2018-09-29T12:00:20,O,
008574634,A,,,RESIDENCE BOUTET FLANDRE,,,,2019-06-24T13:04:23,O,
008574642,A,,,IMMEUBLE LES ROCHES,,,,2019-06-24T13:04:23,O,
008574675,A,,,RESIDENCE DU PARC,,,,2019-06-24T13:04:23,O,
008574683,A,,,IMMEUBLE DU 30 BD GAMBETTA,,,,2019-06-24T13:04:23,O,
008574741,A,,,SYND COPROP FLANDRES,,,,2019-06-24T13:04:23,O,
008574774,A,,,SYND COPROP RESIDENCE COLETTE,,,,2019-06-24T13:04:23,O,
008574808,A,,,SYND COPROPRIETE IMMEUBLE NINNIN,,,,2017-05-04T01:02:39,O,
008574840,A,,,SYND COPROP D'IMMEUBLES,,,,2016-04-26T01:03:45,O,
008574873,A,,,SYND COPROPRIETE IMMEUBLE BLOC C 3,,,,2018-09-29T12:00:20,O,
008574881,A,,,SYNDICAT COPROPRIETE RESIDENCE AUVERGNE,,,,2012-05-05T00:05:42,O,
008574899,A,,,IMMEUBLE DU 4 AV DE FLANDRE,,,,2018-09-29T12:00:20,O,
008574907,A,,,SYND COPROP TOUR LAMARTINE,,,,2019-06-24T13:04:23,O,
008574915,A,,,IMMEUBLE DU 16 AV DE FLANDRE,,,,2016-04-26T01:03:45,O,
008574923,A,,,RESIDENCE LES BONS JOURS,,,,2019-08-12T08:32:30,O,
008574931,A,,,IMMEUBLE DU 59 AV DE GAULLE,,,,2019-06-24T13:04:23,O,
008574949,A,,,RESIDENCE TIVOLI,,,,2019-06-24T13:04:23,O,
008574956,A,,,RESIDENCE MANTOUE,,,,2018-09-29T12:00:20,O,
008574972,A,,,RESIDENCE PLEIN SUD,,,,2019-06-24T13:04:23,O,
008574998,A,,,RESIDENCE KENNEDY,,,,2019-06-24T13:04:23,O,
008575003,A,,,RESIDENCE SAINT LOUIS,,,,2019-06-24T13:04:23,O,
008575045,A,,,SYND COPROPRIETE IMMEUBLE PARC DE BALAN,,,,2015-05-14T03:02:17,O,
008575052,A,,,SYND COPROP IMM. LE BAYARD,,,,2018-09-29T12:00:20,O,
008575136,A,,,RESIDENCE LES GRIVES,,,,2019-06-24T13:04:23,O,
008575169,A,,,SYND COPROP RESIDENCE LES TILLEULS,,,,2019-06-24T13:04:23,O,
008575185,A,,,SYND COPR ARDUINNA,,,,2019-06-24T13:04:23,O,
008575193,A,,,RESIDENCE ISOLA BELLA,,,,2019-06-24T13:04:23,O,
008575243,A,,,RESIDENCE THIERS,,,,2019-06-24T13:04:23,O,
008575250,A,,,SYND COPROP RESIDENCE ROBERT DE SORBON,,,,2019-06-24T13:04:23,O,
008575276,A,,,LES TRIENTALES,,,,2019-06-24T13:04:23,O,
008575300,A,,,SYND COPROP RESIDENCE GONZAGUE,,,,2017-05-04T01:02:39,O,
008575334,A,,,SYND COPROP RESIDENCE LE NORD 1,,,,2019-06-24T13:04:23,O,
008605743,A,,,SYND COPROP IMMEUBLE LES CHATAIGNIERS,,,,2019-06-24T13:04:23,O,
008605875,A,,,SYND COPROP IMMEUBLE DU 19 R DU DAGA,,,,2018-09-29T12:00:20,O,
008606998,A,,,SYND COPROP RESIDENCE D'AUBILLY,,,,2019-06-24T13:04:23,O,
008610370,A,,,SYND COPROP IMM DU 88 RTE DE NOUZONVILLE,,,,2011-11-29T00:10:52,O,
008612467,A,,,SYND COPROP RESIDENCE NEVERS,,,,2019-06-24T13:04:23,O,
008763781,A,,,SYND COPROPRIETE GONZAGUE,,,,2019-06-24T13:04:23,O,
008764284,A,,,RESIDENCE FABERT,,,,2018-09-29T12:00:20,O,
008764383,A,,,SYND COPROP RESIDENCE LE MANOIR,,,,2018-09-29T12:00:20,O,
008888570,A,,,SYND COPROP RESIDENCE RONSART,,,,2019-06-24T13:04:23,O,
009270109,A,,,SYND COPRO RESIDENCE DU MIDI,,,,2019-06-24T13:04:23,O,
009380916,A,,,SYND COPRO RESIDENCE HENRI IV,,,,2011-11-29T00:10:52,O,
009380924,A,,,SYND COPROPRIETAIRES JEAN JAURES,,,,2019-06-24T13:04:23,O,
009381013,A,,,SYND COPROP RESIDENCE PARC SAINTE MARIE,,,,2019-06-24T13:04:23,O,
009381047,A,,,SYND COPRO MERMOZ,,,,2019-06-24T13:04:23,O,
009381070,A,,,SYND COPROP RESIDENCE CAMILLE ST SAENS,,,,2019-06-24T13:04:23,O,
009381112,A,,,SYND COPROP LA RESIDENCE PLACE D'ARMES,,,,2019-06-24T13:04:23,O,
009381179,A,,,SYND COPROP CTRE COMMERCIAL DU VERT BOIS,,,,2011-11-29T00:10:52,O,
009381203,A,,,SYND COPRO AU LOGIS FAMILIAL,,,,2019-06-24T13:04:23,O,
009381229,A,,,SYND COPRO RESIDENCE LES TERRASSES,,,,2019-06-24T13:04:23,O,
009381260,A,,,SYND COPRO PARKING SOUTER.VIEILLES COURS,,,,2018-09-29T12:00:20,O,
009381278,A,,,SYND COPRO VOLTAIRE,,,,2019-06-24T13:04:23,O,
009716416,A,,,SYND COPROP RESIDENCE DES FRENES,,,,2018-09-29T12:00:20,O,
009716507,A,,,SYND COPRO BEAUJAN-PRON,,,,2011-11-29T00:10:52,O,
009716564,A,,,SYND COPROP BEAUJEAN,,,,2019-06-24T13:04:23,O,
009716614,A,,,SYND COPRO DEMEURES MISSION UN,,,,2019-06-24T13:04:23,O,
009716655,A,,,SYND COPRO MIRABEAU,,,,2011-11-29T00:10:52,O,
009716762,A,,,SYND COPRO 1 RUE PASTEUR,,,,2019-06-24T13:04:23,O,
009716770,A,,,SYND COPRO BLANQUI BOUCHOR,,,,2019-06-24T13:04:23,O,
009717018,A,,,SYND COPRO LES JARDINS,,,,2019-06-24T13:04:23,O,
009717026,A,,,SYND COPRO LECLERC BALTET,,,,2019-06-24T13:04:23,O,
009717091,A,,,SYND COPRO 10 RUE COURTALON,,,,2011-11-29T00:10:53,O,
009717109,A,,,SYND COPRO MAIL GAMBETTA,,,,2011-11-29T00:10:53,O,
009717125,A,,,PARKING SOUTERRAIN GROS RAISIN,,,,2018-09-29T12:00:20,O,
009717141,A,,,SYND COPRO 5 RUE DE GAULLE,,,,2018-09-29T12:00:20,O,
009717216,A,,,SYND COPRO LECLERC CHANTELOUP,,,,2019-06-24T13:04:23,O,
009717299,A,,,SYND COPRO RESIDENCE DES ARTS,,,,2019-06-24T13:04:23,O,
009717380,A,,,SYND COPRO LE VERGER DES NOELS,,,,2019-06-24T13:04:23,O,
009717521,A,,,SYND COPRO 24 RUE RAYMOND POINCARE,,,,2018-09-29T12:00:20,O,
009717539,A,,,SYND COPRO 22 RUE RAYMOND POINCARE,,,,2011-11-29T00:10:53,O,
009717620,A,,,SYND COPRO 69 AV PASTEUR,,,,2019-06-24T13:04:23,O,
009717653,A,,,SYND COPRO 107 RUE DU GAL DE GAULLE,,,,2012-05-05T00:05:43,O,
009717661,A,,,SYND COPRO 40 BD DANTON,,,,2011-11-29T00:10:53,O,
009717703,A,,,SYND COPRO RUE PIERRE MURARD,,,,2019-06-24T13:04:23,O,
009717711,A,,,SYND COPROP 21 R PIERRE MURARD,,,,2011-11-29T00:10:53,O,
009717729,A,,,SYND COPRO 14 RUE DE LA GUERARDE,,,,2019-06-24T13:04:23,O,
009717943,A,,,SYND COPROP LE TERTRE,,,,2019-06-24T13:04:23,O,
009717950,A,,,SYND COPRO LES SAPINS,,,,2019-06-24T13:04:23,O,
009718032,A,,,SYND COPRO GROS RAISIN-MAUROY,,,,2018-09-29T12:00:20,O,
009718073,A,,,SYND COPRO CLAIR LOGIS,,,,2019-06-24T13:04:23,O,
009718099,A,,,SYND COPROP GROS RAISIN IERE PHASE,,,,2019-06-24T13:04:24,O,
009718115,A,,,SYND COPRO DUBOIS-ARGENCE,,,,2019-06-24T13:04:24,O,
009718149,A,,,SYND COPROP GROS RAISIN 2EME PHASE,,,,2019-06-24T13:04:24,O,
009718172,A,,,SYND COPRO MEURVILLE,,,,2011-11-29T00:10:53,O,
009718180,A,,,SYND COPRO DEMEURES MISSION DEUX,,,,2019-06-24T13:04:24,O,
009718214,A,,,SYND COPRO L'AVENUE,,,,2019-06-24T13:04:24,O,
009718222,A,,,SYNDICAT DE COPROPRIETE RESIDENCE PREIZE,,,,2019-06-24T13:04:24,O,
009718255,A,,,SYND COPRO LE LYS,,,,2019-06-24T13:04:24,O,
009718289,A,,,SYND COPRO ANATOLE FRANCE,,,,2019-06-24T13:04:24,O,
009718297,A,,,SYND COPRO AU LABOUREUR,,,,2019-06-24T13:04:24,O,
009718305,A,,,SYND COPRO BRISEBARRE,,,,2011-11-29T00:10:53,O,
009718313,A,,,SYND COPRO IMM CASIMIR PERRIER,,,,2012-05-05T00:05:43,O,
009718321,A,,,SYND COPRO CHARBONNET,,,,2019-06-24T13:04:24,O,
009718339,A,,,SYND COPRO 54 BD GAMBETTTA,,,,2019-06-24T13:04:24,O,
009718354,A,,,SYND COPRO BOXES VOLTAIRE PATTON,,,,2019-06-24T13:04:24,O,
009718370,A,,,SYND COPRO IMMEUBLE VOLTAIRE,,,,2019-06-24T13:04:24,O,
009718396,A,,,SYND COPRO 33 BIS RUE DES NOES,,,,2019-10-29T18:00:20,O,
009718404,A,,,SYND COPRO 30 BD DANTON,,,,2019-06-24T13:04:24,O,
009718420,A,,,SYND COPRO 14 RUE SADI CARNOT,,,,2019-06-24T13:04:24,O,
009718438,A,,,SYND COPRO IMMEUBLE ROSERAIE,,,,2018-09-29T12:00:20,O,
009718446,A,,,SDC ROND POINT DE SAINT ANDRE,,,,2019-06-24T13:04:24,O,
009718461,A,,,SYND COPRO RESIDENCE BLANCHARD,,,,2012-05-05T00:05:43,O,
009718495,A,,,SYND COPRO 87-91 RUE DE PREIZE,,,,2019-06-24T13:04:24,O,
009718511,A,,,SYND COPRO IMMEUBLE PIERRE GAUTHIER,,,,2019-06-24T13:04:24,O,
009718529,A,,,SYND COPROP IMM R DE LA PIERRE,,,,2019-06-24T13:04:24,O,
009718537,A,,,SYND COPRO PASTEUR SAINT MARTIN,,,,2019-06-24T13:04:24,O,
009718545,A,,,SYND COPRO LOGIS DES NOELS,,,,2019-06-24T13:04:24,O,
009718552,A,,,SYND COPRO CLUB DES NOES,,,,2019-06-24T13:04:24,O,
009718594,A,,,SYND COPRO IMMEUBLE REINE BLANCHE,,,,2012-05-05T00:05:43,O,
009718636,A,,,SYND COPRO DAMES ET GALLIENI,,,,2019-06-24T13:04:24,O,
009718800,A,,,SYND COPRO POINCARE 14 JUILLET,,,,2018-09-29T12:00:20,O,
009718818,A,,,SYND COPRO LE PETIT CREDO,,,,2011-11-29T00:10:53,O,
009718826,A,,,SYND COPRO LES EGLANTINES,,,,2011-11-29T00:10:53,O,
009718834,A,,,SYND COPRO CHARTREUX,,,,2012-05-05T00:05:43,O,
009718883,A,,,SYND COPRO 28 BD SADI CARNOT,,,,2011-11-29T00:10:53,O,
009718933,A,,,SYND COPRO 43 AV PASTEUR,,,,2011-11-29T00:10:54,O,
009718941,A,,,SYND COPRO IMMEUBLE BD 14 JUILLET,,,,2019-06-24T13:04:24,O,
009718974,A,,,SYND COPRO LA PAIX ST ANTOINE,,,,2019-06-24T13:04:24,O,
009718990,A,,,SYND COPRO 8 RUE TOUR BOILEAU,,,,2011-11-29T00:10:54,O,
009719014,A,,,SYND COPRO FOYER CHAMPENOIS GUESDE,,,,2019-06-24T13:04:24,O,
009719022,A,,,SYND COPRO EDOUARD VAILLANT,,,,2019-06-24T13:04:24,O,
009719055,A,,,SYND COPRO 23 ET 25 RUE RAYMOND POINCARE,,,,2018-09-29T12:00:20,O,
009719063,A,,,SYND COPRO LE VENDOME,,,,2018-09-29T12:00:20,O,
009719071,A,,,SYND COPRO 1 BIS RUE COURTALON,,,,2019-06-24T13:04:24,O,
009719089,A,,,SYND COPRO 1 PL DE LA TOUR,,,,2019-06-24T13:04:24,O,
009719105,A,,,SYNDICAT DE COPROPRIETE 30 B V H,,,,2019-10-29T18:00:20,O,
009719188,A,,,SYND COPRO ROND POINT DE L'EUROPE,,,,2019-06-24T13:04:24,O,
009719220,A,,,SYND COPRO LES PRIMEVERES,,,,2014-06-13T23:02:30,O,
009719238,A,,,SYND COPRO LOGIS DE PREIZE,,,,2019-06-24T13:04:24,O,
009719246,A,,,SYND COPRO DU PONT VERT,,,,2012-05-05T00:05:43,O,
009719261,A,,,SYND COPRO IMMEUBLE LE PARC,,,,2018-09-29T12:00:20,O,
009719287,A,,,SYND COPRO IMMEUBLE PANORAMIC,,,,2019-06-24T13:04:24,O,
009719295,A,,,SYND COPRO PANORAMA,,,,2019-06-24T13:04:24,O,
009719329,A,,,SYND COPRO 32 MAIL DES CHARMILLES,,,,2019-06-24T13:04:24,O,
009719337,A,,,SYND COPRO LE CHENE,,,,2019-06-24T13:04:24,O,
009719386,A,,,SYND COPRO 6 RUE VOLTAIRE,,,,2019-06-24T13:04:24,O,
009719451,A,,,SYND COPRO RESIDENCE MODERNE HERRIOT,,,,2019-06-24T13:04:24,O,
009719493,A,,,SYND COPRO 57 RUE GAL SAUSSIER,,,,2018-09-29T12:00:20,O,
009719519,A,,,SYND COPRO LES BUISSONS,,,,2011-11-29T00:10:54,O,
009719527,A,,,SYND COPRO 63 BD BLANQUI,,,,2019-06-24T13:04:24,O,
009719543,A,,,SYND COPRO BELGRAND-BROSSOLETTE,,,,2011-11-29T00:10:54,O,
009731712,A,,,ASS. COPROPRIETE,,,,2018-09-29T12:00:20,O,
009733189,A,,,COPRO IM MERMOZ,,,,2019-06-24T13:04:24,O,
009733759,A,,,ASS. COPROPRIETE,,,,2019-06-24T13:04:24,O,
009733833,A,,,COPRO IM CRYSTAL,,,,2019-06-24T13:04:24,O,
009733841,A,,,COPRO IM GALLIC,,,,2019-06-24T13:04:24,O,
009733932,A,,,ASS. COPROPRIETE IMM. DE LA RONCERAY,,,,2017-05-04T01:02:40,O,
009734005,A,,,COPRO IM SAULES,,,,2019-06-24T13:04:24,O,
009734237,A,,,COPRO IM AV FRANC LIBRES,,,,2019-06-24T13:04:24,O,
009734849,A,,,COPRO IM CONCORDE,,,,2019-06-24T13:04:24,O,
009735127,A,,,COPRO IM PROMENADES,,,,2019-06-24T13:04:24,O,
009735721,A,,,COPRO IM RES PRES,,,,2016-04-26T01:03:45,O,
009735952,A,,,COPRO IMM LE GALLION,,,,2019-06-24T13:04:24,O,
009736216,A,,,COPRO IM RES BELLEVUE,,,,2012-05-05T00:05:44,O,
009737123,A,,,COPRO IM R DUGUESCLIN,,,,2019-06-24T13:04:24,O,
009737172,A,,,ASS. COPROPRIETE,,,,2018-09-29T12:00:20,O,
009737180,A,,,COPRO IM BD LIBERTE,,,,2019-01-14T15:14:34,O,
009739020,A,,,COPRO IM R CHARCOT,,,,2019-06-24T13:04:24,O,
009739061,A,,,ASS COPROPRIETE,,,,2019-06-24T13:04:24,O,
009739418,A,,,ASS COPROPRIETE,,,,2016-04-26T01:03:45,O,
009739764,A,,,ASS COPROPRIETE,,,,2018-09-29T12:00:20,O,
009739772,A,,,ASS COPRO 19 & 21 RUE DE LA CROIX CARREE,,,,2019-06-24T13:04:24,O,
009739780,A,,,ASS COPROPRIETE,,,,2018-09-29T12:00:20,O,
009739822,A,,,COPRO IM R BALZAC,,,,2019-06-24T13:04:24,O,
009740382,A,,,COPRO IM AV LIBRES FRANCAIS,,,,2019-06-24T13:04:24,O,
009740390,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:20,O,
009740408,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:20,O,
009740416,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:20,O,
009740424,A,,,ASS COPROPRIETE,,,,2018-09-29T12:00:20,O,
009740432,A,,,ASS COPROPRIETE,,,,2018-09-29T12:00:20,O,
009740440,A,,,ASS COPROPRIETE,,,,2018-09-29T12:00:20,O,
009740457,A,,,ASS COPROPRIETE,,,,2019-06-24T13:04:24,O,
009740465,A,,,COPROPRIETE IMPASSE DU COUEDIC,,,,2018-09-29T12:00:21,O,
009740473,A,,,COPRO IM AV JANVIER,,,,2019-06-24T13:04:24,O,
009740481,A,,,COPRO IM PL ST GERMAIN,,,,2018-09-29T12:00:21,O,
009740507,A,,,COPRO IM R ST MELAINE,,,,2016-04-26T01:03:45,O,
009740523,A,,,COPRO IM BD LIBERTE,,,,2018-09-29T12:00:21,O,
009740531,A,,,COPRO IM R MICHELET,,,,2018-09-29T12:00:21,O,
009740556,A,,,COPROPRIETE IMM. R ALMA ACACIAS,,,,2019-06-24T13:04:24,O,
009740598,A,,,COPRO IM R SACHER,,,,2018-09-29T12:00:21,O,
009740630,A,,,COPRO IM BD ROOSEVELT,,,,2016-04-26T01:03:45,O,
009740648,A,,,COPROPRIETE IMMEUBLE R ST ALPHONSE,,,,2019-06-24T13:04:24,O,
009740655,A,,,ASS COPRO 2 & 4 R DE LA CROIX CARREE,,,,2018-09-29T12:00:21,O,
009740663,A,,,COPROPRIETE IMM. CASTEL ST MARTIN,,,,2019-06-24T13:04:24,O,
009740671,A,,,COPRO IM AV LIBRES FRANCAIS,,,,2019-06-24T13:04:24,O,
009740697,A,,,COPRO IM CHATEAU DE MAUREPA,,,,2019-06-24T13:04:24,O,
009740713,A,,,COPROPRIETE IMM. R BARBES,,,,2019-06-24T13:04:24,O,
009740721,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:21,O,
009740754,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:21,O,
009740770,A,,,COPRO IM SULLY,,,,2019-06-24T13:04:24,O,
009740804,A,,,COPRO IM AV LIBRES FRANCAIS,,,,2018-09-29T12:00:21,O,
009740812,A,,,COPRO IM BD METZ,,,,2019-06-24T13:04:24,O,
009740820,A,,,COPRO IM R MARGUERITE,,,,2018-09-29T12:00:21,O,
009740838,A,,,COPRO IM TAMARIS,,,,2019-06-24T13:04:24,O,
009740853,A,,,COPROPRIETE IMM. POINTEAU RONCERAY,,,,2019-06-24T13:04:24,O,
009740861,A,,,ASS COPROPRIETE,IMM R BOUCHARD,,,2018-09-29T12:00:21,O,
009740879,A,,,ASS. COPROPRIETE,RESIDENCE ST MARTIN,,,2019-06-24T13:04:24,O,
009740887,A,,,ASS COPROPRIETE,IMM R GAMBETTA,,,2019-06-24T13:04:24,O,
009740895,A,,,ASS. COPROPRIETE,,,,2018-09-29T12:00:21,O,
009740911,A,,,COPRO IM AV BRIAND,,,,2016-04-26T01:03:45,O,
009740937,A,,,ASS COPROPRIETE,IMM QUAI ZOLA,,,2018-09-29T12:00:21,O,
009740952,A,,,COPRO IM RES SERRES,,,,2019-06-24T13:04:24,O,
009740960,A,,,ASS COPROPRIETE,IMM RESIDENCE JOFFRE,,,2019-06-24T13:04:24,O,
009740978,A,,,ASS COPROPRIETE,IMM CHEMIN VERT,,,2016-04-26T01:03:45,O,
009740986,A,,,COPRO IM R DUVAL,,,,2018-09-29T12:00:21,O,
009740994,A,,,COPRO IM ARC JEANNE,,,,2018-09-29T12:00:21,O,
009741018,A,,,ASS COPROPRIETE,IMM RUE DE NANTES,,,2019-06-24T13:04:24,O,
009741026,A,,,COPRO IM R JOFFRE,,,,2019-06-24T13:04:24,O,
009741034,A,,,COPRO IM BD POINCARE,,,,2016-04-26T01:03:45,O,
009741067,A,,,COPRO IM R VINCENNES,,,,2017-05-04T01:02:40,O,
009741075,A,,,ASS. COPROPRIETE,,,,2018-09-29T12:00:21,O,
009741083,A,,,COPRO IM R CHATEAURENAULT 3,,,,2016-04-26T01:03:45,O,
009741091,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:21,O,
009741109,A,,,ASS COPROPRIETE,IMM AV GUILLAUDOT,,,2017-05-04T01:02:40,O,
009741117,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:21,O,
009741125,A,,,ASS COPRO 9 & 11 RUE PAPU,IMM JOUANNE,,,2019-06-24T13:04:24,O,
009741158,A,,,COPRO IM FLORIDE,,,,2019-06-24T13:04:24,O,
009741166,A,,,COPRO IM LOUISIANE,,,,2019-06-24T13:04:24,O,
009741174,A,,,COPRO IM CALIFORNIE,,,,2019-06-24T13:04:24,O,
009741182,A,,,COPRO IM MISSOURI,,,,2019-06-24T13:04:24,O,
009741190,A,,,COPRO IM MISSISSIPI,,,,2019-06-24T13:04:24,O,
009741208,A,,,COPRO IM R DESCARTES,,,,2018-09-29T12:00:21,O,
009741216,A,,,COPRO IM R SANTE GABRIEL,,,,2018-09-29T12:00:21,O,
009741224,A,,,ASS. COPROPRIETE,LE HOCHE,,,2017-05-04T01:02:40,O,
009741232,A,,,COPRO IM AV JANVIER,,,,2017-05-04T01:02:40,O,
009741299,A,,,COPRO IM R DUHAMEL,,,,2019-06-24T13:04:24,O,
009741323,A,,,COPRO IM BD LIBERTE,,,,2018-09-29T12:00:21,O,
009741349,A,,,COPRO IM BD TOUR D AUVERGNE,,,,2018-09-29T12:00:21,O,
009741364,A,,,ASS COPROPRIETE,IMM RUE A LE BRAZ,,,2018-09-29T12:00:21,O,
009741398,A,,,COPRO IM THEBAUDAIS,,,,2016-04-26T01:03:45,O,
009741414,A,,,ASS COPROPRIETE,IMM BD ROBIDOU,,,2018-09-29T12:00:21,O,
009741422,A,,,COPRO IM PL GARE,,,,2018-09-29T12:00:21,O,
009741448,A,,,ASS. COPROPRIETE,L'EPSILON,,,2019-06-24T13:04:24,O,
009741455,A,,,ASS. COPROPRIETE,,,,2019-06-24T13:04:24,O,
009741463,A,,,COPRO IM MOULIN ST MARTIN,,,,2019-06-24T13:04:24,O,
009741489,A,,,COPRO IM BD LIBERTE,,,,2018-09-29T12:00:21,O,
009741505,A,,,COPRO IM RACINE,,,,2018-09-29T12:00:21,O,
009741513,A,,,ASS. COPROPRIETE IM ALL CORMIER,,,,2019-06-24T13:04:24,O,
009741547,A,,,ASS COPRO IMM LE CLOS MAREUIL,,,,2018-09-29T12:00:21,O,
009741992,A,,,COPRO IM R FOUGERES,,,,2018-09-29T12:00:21,O,
009742032,A,,,ASS. COPROPRIETE,,,,2019-06-24T13:04:24,O,
009742065,A,,,ASS. COPROPRIETE,,,,2011-11-29T00:10:56,O,
009742099,A,,,ASS. COPROPRIETE,,,,2019-06-24T13:04:24,O,
009742206,A,,,ASS. COPROPRIETE,,,,2019-06-24T13:04:24,O,
009742255,A,,,ASS. COPROPRIETE,,,,2011-11-29T00:10:56,O,
009742776,A,,,COPRO IM R ALIZES,,,,2019-06-24T13:04:24,O,
009743170,A,,,COPRO IM R THABOR,,,,2018-09-29T12:00:21,O,
009743238,A,,,COPRO IM SCI DUCOUDRAY,,,,2018-09-29T12:00:21,O,
009743873,A,,,COPRO IM R ROHAN,,,,2018-09-29T12:00:21,O,
009743956,A,,,COPRO IM R CHATEAURENAULT,,,,2019-06-24T13:04:24,O,
009743998,A,,,COPRO IM R ESTREES,,,,2019-06-24T13:04:24,O,
009744046,A,,,COPRO IM BOURGEOIS FRANCS 8,,,,2018-09-29T12:00:21,O,
009744053,A,,,COPRO IM R MACE,,,,2019-06-24T13:04:24,O,
009744103,A,,,COPRO IM AV BARTHOU,,,,2018-09-29T12:00:21,O,
009744186,A,,,COPRO IM AV BRIAND,,,,2019-06-24T13:04:24,O,
009744244,A,,,COPRO IM R POULLAIN DUPARC,,,,2019-06-24T13:04:24,O,
009744251,A,,,COPRO IM R DUPARC POULLAIN,,,,2018-09-29T12:00:21,O,
009744269,A,,,COPRO IM GGE DUPARC POULLAI,,,,2018-09-29T12:00:21,O,
009744277,A,,,COPRO IM R FOUGERES,,,,2019-06-24T13:04:24,O,
009744293,A,,,COPRO IM AV BRIAND,,,,2019-06-24T13:04:24,O,
009744376,A,,,ASS. COPROPRIETE IMM. DAUPHINE,,,,2011-11-29T00:10:57,O,
009744384,A,,,ASS. COPROPRIETE IMM. DAUPHINE,,,,2015-05-03T18:01:18,O,
009744392,A,,,ASS. COPROPRIETE IMM. DAUPHINE,,,,2011-11-29T00:10:57,O,
009744400,A,,,ASS. COPROPRIETE IMM. DAUPHINE,,,,2011-11-29T00:10:57,O,
009744418,A,,,ASS COPROPRIETE,IMM SQ DAUPHINE,,,2012-05-05T00:05:45,O,
009745837,A,,,ASS. COPROPRIETE,LA GOELETTE,,,2019-06-24T13:04:24,O,
009745902,A,,,ASS COPROPRIETE,,,,2018-09-29T12:00:21,O,
009745951,A,,,COPRO IM RES RICHEMONT,,,,2019-06-24T13:04:24,O,
009745985,A,,,COPRO IM BD SEVIGNE,,,,2018-09-29T12:00:21,O,
009745993,A,,,ASS COPROPRIETE,,,,2019-06-24T13:04:24,O,
009747411,A,,,COPRO IM RES LAENNEC,,,,2019-06-24T13:04:24,O,
009747445,A,,,COPRO IM R COCHARDIERE,,,,2013-05-18T02:02:30,O,
009747817,A,,,COPRO IM Q LAMENNAIS,,,,2019-10-29T18:00:20,O,
009913260,A,,,COPRO IM PELICAN,,,,2019-06-24T13:04:24,O,
009914896,A,,,COPRO IM R ST MALO,,,,2018-09-29T12:00:21,O,
010234318,A,,,SYND DE COPROPRIETE,RESIDENCE DU VALLON,,,2019-06-24T13:04:24,O,
010234391,A,,,DE COPROPRIETE,,,,2019-06-24T13:04:24,O,
010234441,A,,,SYND DE COPROPRIETE,,,,2019-06-24T13:04:24,O,
010234805,A,,,DE COPROPRIETE,,,,2018-09-29T12:00:21,O,
010234821,A,,,DE COPROPRIETE,,,,2012-05-05T00:05:46,O,
010234839,A,,,DE COPROPRIETE,,,,2013-05-18T02:02:30,O,
